colour,country,date,price,size,stars,text,title
(PRODUCT)RED,the United Kingdom,30/11/2022,949.00,256GB,5.0,"Apple return to making a large version of their normal handset for the first time since the 8 plus and what a brilliant bit of kit it is.I find the cameras on a standard iPhone superb and more than good enough for my needs. For the iPhone 12 & 13 I’ve had to get the Pro Max to get the larger screen.Don’t get me wrong, the pro max is a great phone but unless you’re a serious photographer it’s likely the camera’s never going to reach its potential with the average user.Being able to buy the 256GB version of the standard iPhone for more or less the price of the 128GB pro Max is a real yes please moment.As an avid product red buyer I’m also delighted to be able to go back to red. The Pro Max has never been available in any of the colours I like so I’ve always hidden it in a case.The iPhone 14 Plus is fast, the battery life a massive improvement, the cameras are excellent and the price point, whilst expensive, offers the average user more for their money.",Apple iPhone 14 Plus
Purple,the United Kingdom,28/11/2022,949.00,128GB,5.0,"I love this phone. I've never had an iPhone so from my perspective this item is insanely good.The screen is large, battery lasts long and the camera is extremely good (it supersedes what I had on my previous phones). It's expensive but worth the money.However, from what I understood, the refresh frame on the screen on the Plus version is a bit lower than the Pro. So perhaps if you are picky when it comes to iphones, look into that because it might bother you. It doesnt bother me at all (due to my previous phone being total garbo).5/5 stars! Love it :)",Apple iPhone 14 Plus
Blue,the United Kingdom,04/12/2022,949.00,128GB,5.0,"Really nice phone, nice screen and interest-free payments.  Cheaper than the Apple upgrade program",Apple iPhone 14 Plus
Blue,the United Kingdom,22/11/2022,949.00,256GB,5.0,Not much change from the 13 series but I come from series 11. It’s a huge leap. Amazing camera. Very fast. Clear screen. Amazing camera. Brilliant operating system. Crash detection on this model. Get at least 256gb one as you’ll need it. You will need to pay iCloud storage too as 5gb free isn’t enough.,Apple iPhone 14 Plus
Blue,the United Kingdom,03/12/2022,949.00,128GB,5.0,Top phone,Apple iPhone 14 Plus
Blue,the United Kingdom,26/10/2022,949.00,128GB,5.0,Very nice phone with large screen and some fancy new features. Would highly recommend this for value for money as it’s the same screen as the pro but for less money.,Apple iPhone 14 Plus
Purple,the United Kingdom,26/10/2022,949.00,256GB,5.0,such a great quality phone love it!!!!,Apple iPhone 14 Plus
Blue,the United Kingdom,12/10/2022,949.00,128GB,5.0,I’ve updated from an iPhone 11 to the 14 plus huge phone so many features first day I had it was in danger of getting rsi !! Inside the battery symbol there is a number telling you how much battery is left ! Great camera features,Apple iPhone 14 Plus
Midnight,the United Kingdom,31/10/2022,949.00,512GB,3.0,There is a wire in the box but no plug to charge the phone,Apple iPhone 14 Plus
Midnight,the United Kingdom,30/11/2022,949.00,128GB,1.0,"The iPhone 14 Plus is extremely bad value. Apart from a slightly larger screen, there are no standout features that make this superior than last years iPhone 13. Even worse, if you pay a little bit more, you can get the flagship iPhone 14 Pro! My biggest question is who did Apple make this for?!",Apple iPhone 14 Plus
